Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs
Sun Jun 23 2019,0,0,1.63,27,2,0,0,2,0,10,3,156,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 24 2019,0,0,0.73,25,2,0,0,0,0,6,2,49,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 25 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 26 2019,0,0,0.64,9,2,0,0,2,0,3,3,41,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 27 2019,0,0,2.67,37,3,0,0,0,0,10,5,320,121,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 28 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 29 2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 30 2019,0,0,1,191,5,1,0,1,0,15,3,230,232,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 01 2019,0,0,2.55,109,4,0,0,1,0,15,6,433,173,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 02 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 03 2019,0,0,2.54,108,4,0,0,1,0,9,7,383,153,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 04 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 05 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 06 2019,0,0,1.34,112,5,0,0,0,0,12,3,242,183,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 07 2019,0,0,0.97,235,9,0,0,4,0,24,3,337,349,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 08 2019,0,0,1.23,158,5,0,0,0,0,15,3,190,154,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 09 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 10 2019,0,0,0.83,66,4,0,0,0,0,15,3,147,177,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 11 2019,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 12 2019,0,0,2.2,354,9,0,1,5,0,21,6,469,206,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 13 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 14 2019,0,0,4.12,300,11,0,0,8,0,24,10,829,201,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 15 2019,0,0,3.63,424,10,0,0,0,0,28,7,723,200,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 16 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 17 2019,0,0,2.34,331,7,0,0,2,0,36,6,486,210,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 18 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 19 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 20 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 21 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 22 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 23 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 24 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 25 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 26 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 27 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 28 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 29 2019,0,0,3.06,99,8,0,0,2,0,27,7,575,189,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 30 2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 31 2019,0,0,4.05,283,10,0,0,1,0,38,9,746,186,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 01 2019,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 02 2019,0,0,4.61,174,7,0,0,1,0,30,9,982,213,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 03 2019,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 04 2019,0,0,3.41,238,9,0,0,1,23.65,25,12,685,203,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 05 2019,0,0,4.43,246,6,0,0,0,1.47,23,9,815,185,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 06 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 07 2019,0,0,7.55,489,13,1,1,2,13.43,37,11,1608,213,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 08 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 09 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 10 2019,0,0,6.44,611,10,0,0,4,4.12,73,12,1578,246,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 11 2019,0,0,3.48,361,7,0,0,1,0.29,27,7,685,199,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 12 2019,0,0,2.29,70,8,0,0,2,0.47,15,5,426,188,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 13 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 14 2019,0,0,5.19,522,10,2,1,2,0,34,9,970,187,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 15 2019,0,0,3.32,299,10,1,0,6,0,32,8,617,187,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 16 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 17 2019,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 18 2019,0,0,3.43,171,7,0,0,2,6.71,28,6,611,180,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 19 2019,0,0,3.72,276,9,1,1,1,0,24,9,621,168,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 20 2019,0,0,0,0,0,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 21 2019,0,0,3.17,279,9,0,0,1,0,19,7,511,163,12,4.42,0,0,1.1,0,0,0,0,0,2,2,0,0,0,0
Thu Aug 22 2019,0,0,2.99,183,12,1,1,4,0.39,32,7,509,170,16,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 23 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 24 2019,0,0,6.21,703,24,1,4,9,0,69,15,1478,239,47,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0
