Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs
Thu Apr 29 2021,0,0,39.9,1529,46,1,7,12,1.08,560,57,12490,313,386,0,0,10.38,32.66,0.2695,0,0,0,0,0,0,0,0,4,4
Fri Apr 30 2021,0,0,0,0,0,1,0,1,0,3,0,0,0,2,9.495,0,0,0,0,0,0,0,0,4,4,0,0,0,0
Sat May 01 2021,0,0,0,0,0,0,0,8,0,2,0,0,0,1,2.4,0,0,0,0.006999999999999999,0,0,0,0,1,1,0,0,0,0
Sun May 02 2021,0,0,102.62,2194,101,0,7,28,30.47,1176,169,37457,365,781,0,0,33.59,80.88,0.49700000000000005,0,0,0,0,0,0,0,0,14,14
Mon May 03 2021,0,0,58.01,1692,77,3,1,7,9.49,463,80,19841,342,313,14.685,0,12.055,74.9,0.2065,0,0,0,0,6,6,0,0,5,5
Tue May 04 2021,0,0,0,0,0,2,0,1,0,2,0,0,1,2,7.19,0,0,0,0.0034999999999999996,0,0,0,0,2,1,1,0,0,0
Wed May 05 2021,0,0,48.24,1538,61,0,0,5,2.71,353,61,17415,360,257,9.99,0,27.77,5.26,0.16449999999999998,0,0,0,0,4,4,0,0,10,10
Thu May 06 2021,0.5,5.39,58.56,1654,76,1,5,14,4.07,749,128,19499,334,493,4.56,0,16.325,4.19,0.294,0,0,0,0,2,2,0,0,7,7
Fri May 07 2021,0,0,0,1,1,5,0,2,0,0,0,0,0,0,5.01,2.495,0,0,0,0,0,0,1,2,2,0,0,0,0
Sat May 08 2021,0,0,0,58,2,0,0,0,0,2,0,0,0,1,9.58,0,0,0,0.0034999999999999996,0,0,0,0,4,4,0,0,0,0
Sun May 09 2021,0,0,52.08,5905,89,0,5,8,0.81,510,71,18958,364,339,4.73,0,6.63,6.75,0.19949999999999998,0,0,0,0,2,2,0,0,3,3
Mon May 10 2021,0,0,53.09,1311,56,3,2,4,1.3,427,70,17627,331,302,2.175,0,0,7,0.1155,0,0,0,0,1,1,0,0,0,0
Tue May 11 2021,0,0,0,64,2,0,0,0,0,5,0,0,0,1,11.735,0,0,0,0.0034999999999999996,0,0,0,0,5,5,0,0,0,0
Wed May 12 2021,0.5,4.95,53.52,2270,81,0,4,11,21.66,721,114,19535,364,500,0,0,6.72,1.25,0.3465,0,0,0,0,0,0,0,0,3,3
Thu May 13 2021,0,0,56.43,1828,82,3,5,14,4.44,731,79,20598,365,463,5.115,2.495,0,2.75,0.266,0,0,0,1,2,2,0,0,0,0
Fri May 14 2021,0,0,0,0,0,3,0,1,0,16,0,0,0,4,2.655,0,0,0,0.0034999999999999996,0,0,0,0,1,1,0,0,0,0
Sat May 15 2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9.03,0,0,0,0.0105,0,0,0,0,4,4,0,0,0,0
Sun May 16 2021,0,0,52.07,1630,59,6,3,16,0.36,790,77,17443,336,473,2.755,0,0,12,0.308,0,0,0,0,1,1,0,0,0,0
Mon May 17 2021,0,0,46.51,1494,49,4,1,2,0.16,391,59,15812,339,270,5.245,0,0,3.5,0.23800000000000002,0,0,0,0,2,2,0,0,0,0
Tue May 18 2021,0,0,0,0,0,0,0,0,0,6,0,0,0,2,9.775,0,0,0,0,0,0,0,0,4,4,0,0,0,0
Wed May 19 2021,0,0,67.04,1668,79,0,3,23,16.24,1005,103,22860,340,666,2.19,0,0,5.44,0.49700000000000005,0,0,0,0,1,1,0,0,0,0
Thu May 20 2021,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0
Fri May 21 2021,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2.425,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Sat May 22 2021,0,0,0,29,3,0,0,0,0,4,0,0,0,2,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Sun May 23 2021,0.5,5.03,47.35,1332,61,2,3,12,2.02,770,67,16952,358,515,0,0,9.57,12.54,0.4445,0,0,0,0,0,0,0,0,4,4
Mon May 24 2021,0,0,0,0,0,0,0,2,0,1,0,0,0,1,5.06,0,0,0,0.0034999999999999996,0,0,0,0,2,2,0,0,0,0
Tue May 25 2021,0,0,0,0,0,0,1,1,0,5,0,0,0,2,7.275,0,0,0,0.0034999999999999996,0,0,0,0,3,3,0,0,0,0
Wed May 26 2021,0,0,67.59,1401,66,1,1,17,18.96,827,186,23453,347,619,4.6,0,4.5,8.59,0.511,0,0,0,0,2,2,0,0,2,2
Thu May 27 2021,0,0,38.91,1445,50,0,1,4,0.23,547,58,14008,360,408,0,0,0,11.47,0,0,0,0,0,0,0,0,0,0,0
Fri May 28 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
