Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs
Sat Jun 01 2019,0,0,1.38,289,7,1,2,5,0,44,5,796,583,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 01 2019,0,0,2.34,2579,40,0,1,27,0,264,10,5560,2381,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 01 2019,0,0,5.11,6133,91,16,11,95,6.58,759,26,17796,3497,304,4.42,0,0,15.729999999999999,0,0,0,0,0,2,2,0,0,0,0
Sun Sep 01 2019,0,0,6.95,6816,136,145,29,100,11.1,955,85,20847,3017,394,33.52,7.485,2.365,20.390000000000004,0,0,0,0,3,14,14,0,0,1,1
Tue Oct 01 2019,2,1.8,6.12,6951,101,64,22,47,7.55,983,54,24352,3990,392,22.619999999999997,7.485,9.29,7.01,0.6685000000000001,0,6,0,3,10,10,0,0,4,4
Fri Nov 01 2019,0,0,6.03,5936,103,7,10,53,1.08,921,16,21125,3544,338,20.529999999999998,2.495,15.469999999999999,13.9,0.7175,0,5.6000000000000005,0,1,9,9,0,0,7,7
Sun Dec 01 2019,0,0,7.92,7946,98,23,19,44,1.76,1209,20,29245,3704,467,22.78,0,140.82999999999998,67.17,0.7560000000000001,0,0,0,0,10,10,0,0,59,59
Wed Jan 01 2020,0,0,8.49,7551,144,9,26,73,11.96,1602,78,37302,4419,687,32.205,7.485,31.21,56.39000000000001,0.4760000000000001,0,0,0,3,10,9,0,1,13,13
Sat Feb 01 2020,0,0,12.96,9255,153,5,9,88,11.13,2135,84,58146,4493,947,14.95,4.99,9.75,50.67,1.4524999999999997,0,0,0,2,7,7,0,0,4,4
Sun Mar 01 2020,0,0,12.51,10787,157,47,20,79,8.99,2042,75,57229,4572,1001,29.589999999999996,7.485,142.35500000000002,206.84,1.3020000000000003,0,0,0,3,9,8,0,1,61,61
Wed Apr 01 2020,0,0,16.04,12205,261,32,30,149,11.63,4237,76,80035,4988,2317,29.02,0,222.46000000000004,90.89000000000003,1.7044999999999997,0,2.4,0,0,9,8,0,1,93,93
Fri May 01 2020,0,0,23.61,24102,320,173,105,170,15.55,5175,119,138951,5864,2650,46.99,4.99,200.41000000000005,32.400000000000006,1.8199999999999998,0,0,0,2,22,22,0,0,89,89
Mon Jun 01 2020,0,0,30.06,22595,309,13,62,126,19.19,4577,177,142048,4708,2355,89.11500000000001,2.495,259.29999999999995,74.53,1.9494999999999998,0,0,0,1,27,24,0,3,113,113
Wed Jul 01 2020,0,0,33.78,18798,351,11,82,157,25.7,4047,197,127048,3757,2196,83.81500000000001,14.970000000000002,133.99499999999998,148.16,1.9950000000000003,0,3,0,6,24,21,0,3,59,59
Sat Aug 01 2020,0,0,38.77,30329,449,112,137,348,8.99,10120,172,219882,5670,5030,88.35499999999999,9.98,259.66,331.19,4.588499999999999,0,1,0,4,29,27,0,2,111,111
Tue Sep 01 2020,0,0,46.08,27152,381,46,79,149,12.99,7053,154,231624,5024,3295,92.7,9.98,212.49,202,3.9410000000000003,0,0,0,4,35,34,0,1,89,89
Thu Oct 01 2020,0,0,48.44,22808,421,80,64,194,13.25,7366,179,206509,4258,3847,102.14500000000001,14.970000000000002,457.25500000000005,213.26999999999998,4.06,0,0,0,6,39,38,0,1,192,192
Sun Nov 01 2020,0,0,41.29,17447,251,12,37,65,5.8,3247,123,114201,2764,1647,102.205,14.970000000000002,180.48499999999999,106.71000000000001,2.264499999999999,0,0,0,6,38,37,0,1,78,78
Tue Dec 01 2020,0,0,45.5,17351,346,13,37,118,15.72,4856,215,149867,3273,2701,108.055,17.465000000000003,223.62999999999997,219.17999999999998,3.4160000000000004,0,0,0,7,40,39,0,1,91,91
Fri Jan 01 2021,0,0,42.95,8744,186,5,17,74,12.88,2213,205,70918,1648,1401,120.32500000000005,7.485,52.255,42.300000000000004,0.5844999999999999,0,0,0,3,45,44,0,1,21,21
Mon Feb 01 2021,1,1.28,42.95,12293,251,24,20,95,14.45,3563,161,121065,2821,1803,109.375,7.485,215.495,143.11999999999998,1.8585,0,0,0,3,41,40,0,1,84,84
Mon Mar 01 2021,3,1.94,53.31,24982,459,61,48,260,8.93,11261,316,297548,5576,5665,127.58000000000001,12.475000000000001,157.085,299.18,5.750499999999999,0,0,0,5,49,48,0,1,66,66
Thu Apr 01 2021,2.5,1.64,49.97,25676,403,62,68,19304,5.79,9739,131,275536,5480,4292,146.085,14.970000000000002,287.475,438.34000000000003,4.347,0,0,0,6,55,53,1,1,119,119
Sat May 01 2021,1.5,1.1,57.35,27517,405,42,42,189,10.75,9503,186,281458,4906,4347,147.215,4.99,117.16,236.51999999999998,4.168499999999999,0,0,0,2,55,53,1,1,48,48
